"","X1","DGUID","PCNAME","LANDAREA","PRUID","GEO_NAME","C1_COUNT_TOTAL_Population..2021","C1_COUNT_TOTAL_Population..2016","C1_COUNT_TOTAL_Population.percentage.change..2016.to.2021","C1_COUNT_TOTAL_Total.private.dwellings","C1_COUNT_TOTAL_Private.dwellings.occupied.by.usual.residents","C1_COUNT_TOTAL_Population.density.per.square.kilometre","C1_COUNT_TOTAL_Land.area.in.square.kilometres","C1_COUNT_TOTAL_65.years.and.over","C1_COUNT_TOTAL_Median.age.of.the.population","C1_COUNT_TOTAL_Total...Occupied.private.dwellings.by.structural.type.of.dwelling...100..data","C1_COUNT_TOTAL_Single.detached.house","C1_COUNT_TOTAL_Average.household.size","C1_COUNT_TOTAL_Married.or.living.common.law","C1_COUNT_TOTAL_Average.number.of.children.in.census.families.with.children","C1_COUNT_TOTAL_Multigenerational.households","C1_COUNT_TOTAL_Median.total.income.in.2020.among.recipients....","C1_COUNT_TOTAL_Median.after.tax.income.in.2020.among.recipients....","C1_COUNT_TOTAL_Median.government.transfers.in.2020.among.recipients....","C1_COUNT_TOTAL_Median.employment.insurance.benefits.in.2020.among.recipients....","C1_COUNT_TOTAL_Average.total.income.in.2020.among.recipients....","C1_COUNT_TOTAL_Median.total.income.in.2019.among.recipients....","C1_COUNT_TOTAL_Median.after.tax.income.in.2019.among.recipients....","C1_COUNT_TOTAL_Median.government.transfers.in.2019.among.recipients....","C1_COUNT_TOTAL_Median.employment.insurance.benefits.in.2019.among.recipients....","C1_COUNT_TOTAL_Indigenous.identity","C1_COUNT_TOTAL_Registered.or.Treaty.Indian","C1_COUNT_TOTAL_Total...Private.households.by.tenure...25..sample.data","C1_COUNT_TOTAL_Owner","C1_COUNT_TOTAL_Renter","C1_COUNT_TOTAL_Total...Occupied.private.dwellings.by.housing.indicators...25..sample.data","C1_COUNT_TOTAL_Spending.30..or.more.of.income.on.shelter.costs.only","C1_COUNT_TOTAL_Median.monthly.shelter.costs.for.owned.dwellings....","C1_COUNT_TOTAL_Average.monthly.shelter.costs.for.owned.dwellings....","C1_COUNT_TOTAL_Median.value.of.dwellings....","C1_COUNT_TOTAL_Average.value.of.dwellings....","C1_COUNT_TOTAL_Median.monthly.shelter.costs.for.rented.dwellings....","C1_COUNT_TOTAL_Average.monthly.shelter.costs.for.rented.dwellings....","C1_COUNT_TOTAL_Non.immigrants","C1_COUNT_TOTAL_Immigrants","C1_COUNT_TOTAL_Total.visible.minority.population","C1_COUNT_TOTAL_Total...Highest.certificate..diploma.or.degree.for.the.population.aged.15.years.and.over.in.private.households...25..sample.data","C1_COUNT_TOTAL_No.certificate..diploma.or.degree","C1_COUNT_TOTAL_High..secondary..school.diploma.or.equivalency.certificate","C1_COUNT_TOTAL_Postsecondary.certificate.or.diploma.below.bachelor.level","C1_COUNT_TOTAL_Bachelor.s.degree","C1_COUNT_TOTAL_Total...Population.aged.15.years.and.over.by.labour.force.status...25..sample.data","C1_COUNT_TOTAL_In.the.labour.force","C1_COUNT_TOTAL_Employed","C1_COUNT_TOTAL_Unemployed","C1_COUNT_TOTAL_Not.in.the.labour.force","C1_COUNT_TOTAL_Participation.rate","C1_COUNT_TOTAL_Employment.rate","C1_COUNT_TOTAL_Unemployment.rate","C1_COUNT_TOTAL_Total...Place.of.work.status.for.the.employed.labour.force.aged.15.years.and.over...25..sample.data","C1_COUNT_TOTAL_Worked.at.home","C1_COUNT_TOTAL_Worked.outside.Canada","C1_COUNT_TOTAL_No.fixed.workplace.address","C1_COUNT_TOTAL_Usual.place.of.work","C1_COUNT_TOTAL_Total...Commuting.destination.for.the.employed.labour.force.aged.15.years.and.over.with.a.usual.place.of.work...25..sample.data","C1_COUNT_TOTAL_Commute.within.census.subdivision..CSD..of.residence","C1_COUNT_TOTAL_Commute.to.a.different.census.subdivision..CSD..within.census.division..CD..of.residence","C1_COUNT_TOTAL_Commute.to.a.different.census.subdivision..CSD..and.census.division..CD..within.province.or.territory.of.residence","C1_COUNT_TOTAL_Commute.to.a.different.province.or.territory","C1_COUNT_TOTAL_Total...Main.mode.of.commuting.for.the.employed.labour.force.aged.15.years.and.over.with.a.usual.place.of.work.or.no.fixed.workplace.address...25..sample.data","C1_COUNT_TOTAL_Car..truck.or.van","C1_COUNT_TOTAL_Public.transit","C1_COUNT_TOTAL_Walked","C1_COUNT_TOTAL_Bicycle","C1_COUNT_TOTAL_Other.method","C1_COUNT_TOTAL_Total...Commuting.duration.for.the.employed.labour.force.aged.15.years.and.over.with.a.usual.place.of.work.or.no.fixed.workplace.address...25..sample.data","C1_COUNT_TOTAL_Less.than.15.minutes","C1_COUNT_TOTAL_15.to.29.minutes","C1_COUNT_TOTAL_30.to.44.minutes","C1_COUNT_TOTAL_45.to.59.minutes","C1_COUNT_TOTAL_60.minutes.and.over","C10_RATE_TOTAL_65.years.and.over","C10_RATE_TOTAL_Single.detached.house","nVets","nvets_1kmBuffer","nDentist","nDentists_1kmBuffer","nDentists_2kmBuffer","nDentists_5kmBuffer","nfuneral","nfunerals_1kmBuffer","nfunerals_2kmBuffer","nfunerals_5kmBuffer","C1_COUNT_TOTAL_Commuteout","C1_COUNT_TOTAL_Dwellingperkm","C1_COUNT_TOTAL_Dwellingperpop"
"215",215,"2021S05101472","Obedjiwan",0.6301,24,"Obedjiwan",1259,1404,-10.3,277,272,1998.1,0.63,6.7,23.4,275,225,4.6,380,2.5,55,26200,26000,12300,4760,31750,19400,19400,4280,4840,1235,1225,270,35,75,270,0,NA,NA,NA,NA,NA,NA,1250,0,0,855,660,55,120,20,855,300,290,15,550,35.1,33.9,5,290,10,0,40,250,245,240,0,10,0,285,240,0,40,0,0,285,265,10,0,0,10,"c(NA, NA)",81.8,0,0,1,1,1,1,0,0,0,0,0.0204081632653061,439.68253968254,0.21604447974583
"216",216,"2021S05101475","Puvirnituq",0.8695,24,"Puvirnituq",1456,1038,40.3,449,348,1674.5,0.87,5.1,21.6,350,145,4.1,365,2.5,55,34000,32000,12700,7250,42300,27400,26000,5520,12900,1370,0,345,0,345,345,10,NA,NA,NA,NA,488,472,1430,0,10,910,665,120,105,15,910,530,480,50,385,58.2,52.7,9.4,480,15,0,50,410,410,395,15,0,0,460,150,0,160,0,155,460,395,65,0,0,0,"c(NA, NA)",41.4,0,0,0,0,0,0,0,0,0,0,0.0365853658536586,516.091954022988,0.239010989010989
"217",217,"2021S05101491","Salluit",0.7638,24,"Salluit",1107,1255,-11.8,327,292,1449.3,0.76,3.6,21,290,105,3.8,270,2.7,20,35200,33600,14000,7900,44500,29600,28600,6080,8300,1065,0,295,10,290,295,0,NA,NA,NA,NA,564,512,1100,0,0,720,530,90,90,10,720,360,315,40,360,50,43.8,11.1,315,10,0,30,280,285,255,30,0,0,310,165,0,85,0,55,310,275,20,10,0,0,"c(NA, NA)",36.2,0,0,0,0,0,0,0,0,0,0,0.105263157894737,430.263157894737,0.263775971093044
"218",218,"2021S05101497","Attawapiskat 91A",1.3335,35,"Attawapiskat 91A",1586,1501,5.7,404,359,1189.4,1.33,5.4,22.4,360,260,4.4,420,2.6,70,25000,25000,11700,7800,31650,17600,17600,4240,8800,1555,1520,355,60,25,355,0,NA,NA,NA,NA,NA,NA,1565,15,10,1040,535,340,130,25,1040,360,330,30,680,34.6,31.7,8.3,330,0,0,75,245,245,205,40,0,0,325,175,0,135,0,0,325,260,40,10,10,10,"c(NA, NA)",72.2,0,0,0,0,0,0,0,0,0,0,0.163265306122449,303.759398496241,0.226355611601513
"219",219,"2021S05101499","Bayfield",2.8602,35,"Bayfield",1394,1235,12.9,1066,717,487.4,2.86,44.1,62.4,720,590,1.9,875,1.7,0,45200,39600,13500,5760,55600,43200,38000,11500,5760,0,0,730,630,105,735,95,970,1188,7e+05,728000,890,880,1235,175,25,1285,120,390,415,250,1285,555,520,40,730,43.2,40.5,7.2,515,140,0,60,315,315,140,125,50,0,375,320,0,50,0,0,375,150,145,30,0,45,"c(NA, NA)",81.9,0,0,0,0,0,0,0,0,0,4,0.555555555555556,372.727272727273,0.514347202295552
"220",220,"2021S05101510","Haliburton Village",2.1952,35,"Haliburton Village",1078,1149,-6.2,557,514,491.1,2.2,34,56.4,510,345,2,450,1.6,15,33200,31200,13900,5480,43500,30400,28400,10000,6040,30,10,565,325,240,565,130,1150,1104,4e+05,460000,880,910,1040,80,35,1040,290,330,285,100,1040,545,510,35,495,52.4,49,6.4,505,65,0,60,375,375,320,25,35,0,440,370,0,50,0,15,440,305,75,25,10,20,"c(NA, NA)",67.6,0,0,3,4,4,4,1,1,1,1,0.146666666666667,253.181818181818,0.476808905380334
"221",221,"2021S05101530","Arborg",1.9996,46,"Arborg",1279,1222,4.7,528,497,639.6,2,26.7,42.8,495,365,2.4,570,2,5,36400,32800,10100,6450,43000,33600,31000,6450,5160,215,70,515,300,215,515,45,940,990,220000,220000,810,810,1025,165,125,950,270,365,220,75,950,600,565,30,350,63.2,59.5,5,565,65,0,55,450,450,390,45,15,0,500,395,0,90,15,0,500,305,115,50,15,20,"c(NA, NA)",73.7,0,1,1,1,1,1,1,1,1,1,0.133333333333333,264,0.388584831899922
"222",222,"2021S05101537","Teulon",1.8711,46,"Teulon",1087,1095,-0.7,543,501,580.9,1.87,28.6,46.4,500,375,2.1,465,1.9,10,38400,34000,10500,4240,51300,36400,32400,8300,5040,245,15,495,375,120,500,55,1000,988,250000,259000,920,860,995,50,20,870,185,320,290,35,870,520,490,25,350,59.8,56.3,4.8,495,25,0,115,350,350,140,35,165,0,465,370,15,55,15,10,465,175,30,95,75,85,"c(NA, NA)",75,0,0,2,2,2,2,1,1,1,1,0.6,290.374331550802,0.460901563937443
"223",223,"2021S05101553","Vauxhall",2.7089,48,"Vauxhall",1286,1222,5.2,457,436,474.7,2.71,12.1,29.4,435,350,3,595,2.7,5,34400,31800,6000,4760,41600,30200,28400,2980,6120,15,0,440,335,100,440,50,1040,1092,2e+05,213000,900,820,880,375,30,860,545,160,125,15,860,545,525,20,315,63.4,61,3.7,525,55,0,100,375,375,215,150,10,0,470,420,0,40,10,0,470,225,135,75,35,10,"c(NA, NA)",80.5,0,0,0,0,0,0,0,0,0,0,0.426666666666667,168.634686346863,0.339035769828927
"224",224,"2021S05101575","Placentia",2.6236,10,"Placentia",1338,1374,-2.6,761,638,510,2.62,39.3,59.6,635,550,1.9,615,1.5,5,32800,29800,16400,10000,42000,31400,28000,13500,9400,15,10,620,480,140,620,60,492,712,140000,147000,800,730,1140,35,0,1045,230,260,455,70,1045,500,405,95,555,47.8,38.8,19,405,30,0,90,285,285,260,25,0,0,370,335,0,35,0,0,370,285,15,35,10,30,"c(NA, NA)",86.6,0,0,2,2,2,2,2,2,2,2,0.0877192982456141,290.458015267176,0.476831091180867
"225",225,"2021S05101577","Sheshatshiu",1.6052,10,"Sheshatshiu",1049,1272,-17.5,331,299,653.5,1.61,7.1,28.6,300,285,3.5,360,1.9,30,39200,39200,14900,6600,45700,26200,26000,6500,8500,975,845,300,70,25,295,0,NA,NA,NA,NA,NA,NA,1015,15,10,725,320,160,200,40,725,410,295,115,315,56.6,40.7,28,295,30,0,25,240,240,105,130,0,0,265,230,0,20,0,15,265,200,15,40,10,10,"c(NA, NA)",95,0,0,0,0,0,0,0,0,0,0,0.5625,205.590062111801,0.285033365109628
"226",226,"2021S05101588","Wemindji",0.7113,24,"Wemindji",1324,1209,9.5,422,335,1861.4,0.71,6.4,28,335,260,3.9,400,2.2,45,41600,41200,11900,5920,45900,38000,38000,7250,7300,1270,1265,335,50,25,335,0,NA,NA,NA,NA,NA,NA,1315,0,0,930,370,220,270,60,930,580,540,45,350,62.4,58.1,7.8,535,15,0,90,425,430,320,110,0,0,520,380,0,105,0,35,520,470,30,10,0,10,"c(NA, NA)",77.6,0,0,0,0,0,0,0,0,0,0,0.255813953488372,594.366197183099,0.253021148036254
"227",227,"2021S05101589","Whapmagoostui - Kuujjuarapik",0.9046,24,"Whapmagoostui - Kuujjuarapik",1411,365,286.6,359,333,1559.8,0.9,5.3,26,330,185,4.2,495,2.3,50,42800,41600,13700,7050,47000,31400,29800,7850,11400,1385,1000,330,20,155,335,0,NA,NA,NA,NA,504,460,1405,0,0,955,470,200,230,50,955,630,575,55,325,66,60.2,8.7,575,15,0,75,490,490,420,75,0,0,565,290,0,120,0,150,565,515,35,0,0,10,"c(NA, NA)",56.1,0,0,0,0,0,0,0,0,0,0,0.142857142857143,398.888888888889,0.236002834868887
"228",228,"2021S05101595","Kasabonika Lake",1.1345,35,"Kasabonika Lake",1060,849,24.9,252,228,934.3,1.13,4.7,22.4,230,175,4.6,290,2.5,45,23800,23400,6600,4000,27200,10000,10000,2640,7400,1050,1030,230,0,0,230,0,NA,NA,NA,NA,NA,NA,1050,10,10,695,465,110,95,25,695,315,285,30,380,45.3,41,9.5,285,0,0,50,230,230,155,75,0,0,280,190,0,75,0,10,280,260,15,10,0,0,"c(NA, NA)",76.1,0,0,0,0,0,0,0,0,0,0,0.326086956521739,223.008849557522,0.215094339622642
"229",229,"2021S05101597","Sandy Lake 88",1.3517,35,"Sandy Lake 88",1601,49,3167.3,426,376,1184.4,1.35,4.1,23.2,375,370,4.3,425,2.3,85,16600,16600,5160,6550,23880,17000,16800,3160,8300,1590,1580,375,55,15,375,0,NA,NA,NA,NA,NA,NA,1600,0,0,1050,670,235,125,20,1050,470,350,120,585,44.8,33.3,25.5,350,10,0,40,300,305,290,10,0,0,345,270,0,65,0,10,345,285,40,15,0,0,"c(NA, NA)",98.7,0,0,0,0,0,0,0,0,0,0,0.0491803278688525,315.555555555556,0.234853216739538
"230",230,"2021S05101599","Chemawawin 2",1.5143,46,"Chemawawin 2",1163,1131,2.8,356,250,768,1.51,3.9,20.4,250,210,4.7,320,2.6,40,24400,23800,11600,6550,28200,21200,21200,6850,8900,1160,1135,250,30,20,250,0,NA,NA,NA,NA,NA,NA,1165,0,0,685,385,180,85,40,685,295,230,60,395,43.1,33.6,20.3,230,10,0,60,165,165,135,20,0,0,220,195,0,25,0,0,220,190,25,0,0,10,"c(NA, NA)",84,0,0,0,0,0,0,0,0,0,0,0.181818181818182,235.761589403974,0.214961306964746
"231",231,"2021S05101602","Nelson House 170",2.6999,46,"Nelson House 170",1351,1675,-19.3,273,260,500.4,2.7,5.9,22.8,260,220,5.1,340,2.5,75,19800,19600,10600,8600,23840,12500,12500,2520,5640,1335,1305,260,25,15,260,0,NA,NA,NA,NA,NA,NA,1330,0,0,850,455,185,180,25,850,390,335,55,460,45.9,39.4,14.1,335,10,0,60,265,265,220,30,15,0,325,200,0,110,0,10,325,225,70,20,0,10,"c(NA, NA)",84.6,0,0,0,0,0,0,0,0,0,0,0.169811320754717,101.111111111111,0.192450037009623
"232",232,"2021S05101606","Davidson",1.8016,47,"Davidson",1039,1038,0.1,517,461,576.7,1.8,27.5,44,460,375,2.2,520,2.2,5,40800,37600,9800,6360,50000,38800,34800,6040,6360,25,10,465,340,125,465,65,745,960,220000,229000,780,700,885,95,100,825,150,300,250,95,825,550,550,0,275,66.7,66.7,0,555,110,0,85,350,350,285,45,20,0,440,385,0,40,0,0,440,335,50,15,10,20,"c(NA, NA)",81.5,0,0,1,1,1,1,1,1,1,1,0.185714285714286,287.222222222222,0.443695861405197
"233",233,"2021S05101607","La Loche",1.5548,47,"La Loche",2009,1913,5,604,555,1292.1,1.55,4,24.2,555,275,3.6,420,2.2,90,34400,33200,22000,6700,40900,24800,24200,11800,7400,1900,1040,555,150,405,555,45,675,900,160000,180000,820,804,1995,10,20,1285,670,335,220,50,1285,520,390,130,765,40.5,30.4,25,385,0,0,65,320,320,255,35,10,20,380,290,10,70,0,10,380,330,20,15,0,20,"c(NA, NA)",49.5,0,0,1,1,1,1,0,0,0,0,0.203125,389.677419354839,0.276256844201095
"234",234,"2021S05101608","Sandy Bay - Wapaskokimaw 202",2.6796,47,"Sandy Bay - Wapaskokimaw 202",1104,910,21.3,288,233,412,2.68,2.7,19.8,235,170,4.7,210,2.9,55,27400,27000,17000,8600,36000,19000,18800,6550,5040,1050,920,235,45,120,235,0,790,800,150000,195000,705,720,1090,15,10,700,390,170,80,40,700,225,175,50,465,32.1,25,22.2,175,0,0,20,155,155,95,50,0,0,175,110,0,60,0,10,175,135,20,0,0,0,"c(NA, NA)",72.3,0,0,1,1,1,1,0,0,0,0,0.387096774193548,107.462686567164,0.211050724637681
"235",235,"2021S05101615","Tofino",5.4743,59,"Tofino",2217,1736,27.7,1075,874,405,5.47,11.3,35.6,875,440,2.4,955,1.6,10,41600,37200,9100,3680,53600,36400,32800,1210,5920,125,45,870,470,400,870,175,1760,1950,9e+05,1048000,1220,1340,1770,200,130,1785,115,515,655,340,1780,1520,1335,185,260,85.4,75,12.2,1335,280,10,175,870,870,760,45,55,10,1050,630,0,255,125,35,1050,790,160,40,25,30,"c(NA, NA)",50.3,1,1,1,1,1,1,0,0,0,0,0.126436781609195,196.526508226691,0.394226432115471
